Title	Authors	Pdf	Presentation	Pagenumbers	Volume_Name	Notes
Induction of Probabilistic Synchronous Tree-Insertion Grammars for Machine Translation	Rebecca Nesson and Stuart Shieber and Alexander Rush	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Nesson.pdf		128-137		
Improving Phrase-Based Statistical Machine Translation with Morpho-Syntactic Analysis and Transformation	Thai Phuong Nguyen and Akira Shimazu	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Nguyen.pdf		138-147		
Wrapper Syntax for Example-based Machine Translation	Karolina Owczarzak and Bart Mellebeek and Declan Groves and Josef Van Genabith and Andy Way	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Owczarzak.pdf		148-155		
Machine Translation for Languages Lacking Bitext via Multilingual Gloss Transduction	Brock Pytlik and David Yarowsky	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Pytlik.pdf		156-165		
Direct Application of a Language Learner Test to MT Evaluation	Florence Reeder	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Reeder-1.pdf		166-175		
Measuring MT Adequacy Using Latent Semantic Analysis	Florence Reeder	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Reeder-2.pdf		176-184		
Minimally Supervised Morphological Segmentation with Applications to Machine Translation	Jason Riesa and David Yarowsky	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Riesa.pdf		185-192		
Ambiguity Reduction for Machine Translation: Human-Computer Collaboration	Marcus Sammer and Kobi Reiter and Stephen Soderland and Katrin Kirchhoff and Oren Etzioni	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Sammer.pdf		193-202		
Novel Probabilistic Finite-State Transducers for Cognate and Transliteration Modeling	Charles Schafer	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Schafer.pdf		203-212		
Combining Linguistic and Statistical Methods for Bi-directional English Chinese Translation in the Flight Domain	Stephanie Seneff and Chao Wang and John Lee	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Seneff.pdf		213-222		
A Study of Translation Edit Rate with Targeted Human Annotation	Matthew Snover and Bonnie Dorr and Rich Schwartz and Linnea Micciulla and John Makhoul	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Snover.pdf		223-231		
Example-Based Machine Translation of the Basque Language	Nicolas Stroppa and Declan Groves and Andy Way and Kepa Sarasola	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Stroppa.pdf		232-241		
Combining Evaluation Metrics via Loss Functions	Calandra Tate and Clare Voss	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Tate.pdf		242-250		
Scalable Purely-Discriminative Training for Word and Tree Transducers	Benjamin Wellington and Joseph Turian and Chris Pike and Dan Melamed	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Wellington.pdf		251-260		
